time,weather_code (wmo code),temperature_2m_max (°C),daylight_duration (s),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h)
2/7/23,3,5.8,27308.83,0,0,23.4
2/8/23,3,3,27708.9,0,0,26
2/9/23,3,4,28112.04,0,0,27.9
2/10/23,71,-0.6,28517.8,0,0.07,25.8
2/11/23,3,-2.5,28925.73,0,0,19.5
2/12/23,3,6.9,29335.44,0,0,30
2/13/23,3,5,29746.51,0,0,34
2/14/23,3,6.2,30158.6,0,0,17
2/15/23,3,2.5,30571.35,0,0,13.7
2/16/23,71,1.1,30984.44,0.1,0.14,14
2/17/23,71,-0.6,31397.54,0,0.21,13.8
2/18/23,73,0.1,31810.38,0,11.2,10.8
2/19/23,73,-1.3,32222.65,0,2.8,11.2
2/20/23,71,-2.9,32634.09,0,0.77,13.6
2/21/23,73,-4.1,33044.44,0,1.12,16.9
2/22/23,3,-5.4,33453.44,0,0,17
2/23/23,73,0.2,33860.86,0,1.47,18.8
2/24/23,71,-1.9,34266.45,0,0.21,18
2/25/23,3,-2.4,34670,0,0,16
2/26/23,3,0.4,35071.27,0,0,11.8
2/27/23,3,7.3,35470.53,0,0,30.3
2/28/23,3,3,35871.12,0,0,20.9
3/1/23,3,7.9,36273.48,0,0,26.7
3/2/23,71,4.9,36677.32,0.1,0.14,23.2
3/3/23,71,2.1,37082.42,0,0.14,21.9
3/4/23,73,-1,37488.53,0,1.12,23
3/5/23,73,-2.9,37895.42,0,1.61,17
3/6/23,3,-5.6,38302.88,0,0,13.4
3/7/23,73,-7.7,38710.67,0,2.1,16.6
3/8/23,71,-10,39118.59,0,0.7,17.8
3/9/23,3,-6.7,39526.44,0,0,19.8
3/10/23,3,-3.6,39934.02,0,0,19.6
3/11/23,71,-3.2,40341.11,0,0.21,11.8
3/12/23,2,-3.6,40747.53,0,0,14.7
3/13/23,73,-1.5,41153.09,0,0.56,19.1
3/14/23,73,-2.2,41557.57,0,3.71,16.1
3/15/23,71,-2.4,41960.8,0,0.07,16.3
3/16/23,2,-0.3,42362.57,0,0,17.1
3/17/23,71,-2,42762.69,0,1.05,24.4
3/18/23,73,4.8,43160.96,0.1,3.29,25.8
3/19/23,73,-1.3,43557.62,0,0.49,14.9
3/20/23,73,3.9,43955.58,0,0.28,18.7
3/21/23,3,2.4,44355.29,0,0,21.6
3/22/23,73,-4.6,44756.56,0,5.04,22.6
3/23/23,73,-4.4,45159.22,0,2.59,29.1
